"condition","awareness","qulty_rate_var","qulty_feel_var","qulty_smlr_var","indiv_body","happ.diff"
"voluntary facial action",1,6,2,3,4.77777777777778,0.5
"pen-in-mouth",2.5,7,2,5,5.83333333333333,0
"facial mimicry",1,5,2,6,3.33333333333333,0.25
"pen-in-mouth",1,7,5,5,5.5,-0.25
"voluntary facial action",1,7,3,5,5.5,-2
"voluntary facial action",1,7,6,6,5,-1
"voluntary facial action",1.5,7,5,6,3.27777777777778,2
"pen-in-mouth",1,7,1,6,4.88888888888889,0.75
"pen-in-mouth",1.5,7,2,2,5.11111111111111,0.75
"voluntary facial action",3,7,1,1,3.11111111111111,-1.25
"pen-in-mouth",1,7,3,7,5.11111111111111,1.75
"facial mimicry",1,5,5,NA,3.33333333333333,0
"facial mimicry",1,2,5,2,4.27777777777778,-0.25
"pen-in-mouth",3,7,5,7,3.94444444444444,0.25
"voluntary facial action",3,7,3,6,4.11111111111111,-0.75
"facial mimicry",1,7,1,6,3.83333333333333,0
"voluntary facial action",1,7,4,7,4.05555555555556,0
"pen-in-mouth",1,6,6,2,4.61111111111111,1
"pen-in-mouth",1.5,7,1,4,4.22222222222222,3
"pen-in-mouth",1,7,3,3,4.72222222222222,-0.25
"voluntary facial action",4.5,7,3,7,3.22222222222222,-0.75
"voluntary facial action",1,5,3,3,4.05555555555556,-0.25
"pen-in-mouth",1,7,3,5,3.61111111111111,0.5
"voluntary facial action",2,7,3,2,4.88888888888889,0
"facial mimicry",1,7,1,3,3.83333333333333,0
"pen-in-mouth",1,7,1,3,3.66666666666667,-0.25
"facial mimicry",7,7,6,6,4.55555555555556,1.25
"pen-in-mouth",1,7,1,NA,5.22222222222222,-0.25
"voluntary facial action",1,5,1,NA,3.72222222222222,0
"pen-in-mouth",1,7,4,3,3.72222222222222,0.5
"pen-in-mouth",1,7,1,3,4,0.25
"voluntary facial action",7,7,2,6,4.88888888888889,0.25
"facial mimicry",1,7,4,NA,4.66666666666667,-0.5
"voluntary facial action",6.5,7,6,7,5.5,2
"voluntary facial action",1,7,1,NA,4.44444444444444,0
"voluntary facial action",1,7,6,5,5.05555555555556,5.25
